"","equil","two-way","one-way","equil","two-way","one-way","equil","two-way","one-way"
"Index_Catch_LC20",-0.0187158559466429,-0.017276269961764,0.0227318195414222,-0.00406046589803217,0.004857315617358,0.0343067018470881,0.00149861951800887,0.011851532526274,0.022957551806038
"Index_LC10",-0.0136756962157324,-0.0387547239387852,0.0228625664129091,-0.0487993490310785,-0.000592100120028811,0.0941526008561877,0.12470740139962,0.173487639022911,0.0761303921743948
"Index_LC1",0.0118211193271772,-0.00636134169639516,0.0332845144721676,-0.00308988241290742,0.0602348814242309,0.0648935962423467,0.0399019509043058,-0.0613936449753576,0.0291893965573924
"Catch_LC10",-0.0179156903403577,-0.0449568285365717,0.0183006524050091,-0.0213848796280024,0.149621917095688,0.165078429945915,-0.00228282354053765,0.123626074063041,0.280420400675582
"Catch_LC1",0.0293669184138871,0.79558094894849,0.971924861695873,-0.0559991760466913,0.119075706524007,0.193487045987456,0.0102646113428754,-0.14578218977419,0.236465896627053
"LC10",-0.0219121322009471,-0.0563332270924527,0.0160278234124309,-0.085671222421653,-0.136817943439193,0.0721905444965838,0.104171719569018,-0.00595849998584893,0.200238876725991
"LC1",-0.0452330156635904,-0.081800230041148,-0.024973424563993,-0.140499521526776,-0.354799646652553,-0.154446190223389,0.166291486550117,-0.467975488339189,-0.180730476578938
"LBSPR10",-0.569579218377435,-0.676384863787775,-0.708228247764605,0.00587418075779748,-0.404685166409483,0.195868461379983,0.0621926640260691,-0.358841380318672,0.451585167393354
"LBSPR1",-0.603278360774383,-0.697639846200797,-0.737763831891878,-0.0296081901415982,-0.372191573474463,-0.180628873581652,0.0588252060643479,-0.402802003813075,0.295651498584897
"Index_Catch_LC20",0.026601366060664,0.0688188106425821,0.0276220378686503,0.0381370597031681,0.043794651852374,0.100742272927988,0.0384646828741135,0.0423362711376982,0.0888464732634058
"Index_LC10",0.0394677933656847,0.0514609862202382,0.0375227663627253,0.185485272306419,0.176444816573023,0.294963283569319,0.243637466711139,0.449190975234943,0.351771141614692
"Index_LC1",0.0458276090419012,0.0786676225891814,0.0615713913823275,0.104919392798467,0.207334236183989,0.235230709275809,0.180039132809259,0.222650136139065,0.223254032902147
"Catch_LC10",0.0248920004251684,0.0554430010728013,0.0347795121624377,0.0802888663653218,0.381640345422459,0.475834040021163,0.0766164024083595,0.422638531422528,0.630066187103196
"Catch_LC1",0.0600045646953384,0.79558094894849,0.971924861695873,0.12883009713652,0.428915857593126,0.496347640516527,0.161045639471895,0.312865102461752,0.714225752029559
"LC10",0.0276867500357163,0.0630622940178079,0.0309912487600487,0.245695946899005,0.498501783586576,0.470279218746769,0.498298120213172,0.743444135592276,0.701953703245593
"LC1",0.0724071661483761,0.125942545116601,0.0388350433102875,0.215923849189972,0.436645292787323,0.362148985122197,0.300700865841854,0.704799319614261,0.54917513061709
"LBSPR10",0.569579218377435,0.676384863787775,0.708228247764605,0.0656439141475714,0.411645306468673,0.403716014983469,0.0776715974517011,0.367061300447935,0.486462536598958
"LBSPR1",0.603278360774383,0.697639846200797,0.737763831891878,0.112806098289387,0.477532010655606,0.431730421966132,0.120331030551514,0.501169600528387,0.535710209492004
