,LBSPR/LC10/LH_Short,LBSPR/LC1/LH_Short,LBSPR/LBSPR10/LH_Short,LBSPR/LBSPR1/LH_Short,LBSPR/LC10/LH_Medium,LBSPR/LC1/LH_Medium,LBSPR/LBSPR10/LH_Medium,LBSPR/LBSPR1/LH_Medium,LBSPR/LC10/LH_Long,LBSPR/LC1/LH_Long,LBSPR/LBSPR10/LH_Long,LBSPR/LBSPR1/LH_Long,MoYr/LC10/SampleSize_200/LH_Short,MoYr/LC1/SampleSize_200/LH_Short,MoYr/LBSPR10/SampleSize_200/LH_Short,MoYr/LBSPR1/SampleSize_200/LH_Short,MoYr/LC10/SampleSize_200/LH_Medium,MoYr/LC1/SampleSize_200/LH_Medium,MoYr/LBSPR10/SampleSize_200/LH_Medium,MoYr/LBSPR1/SampleSize_200/LH_Medium,MoYr/LC10/SampleSize_200/LH_Long,MoYr/LC1/SampleSize_200/LH_Long,MoYr/LBSPR10/SampleSize_200/LH_Long,MoYr/LBSPR1/SampleSize_200/LH_Long,runMonthly/LC10/SampleSize_200/LH_Short,runMonthly/LC1/SampleSize_200/LH_Short
bmat2,0.068111687,0.195342167,-0.004854285,0.020528452,-0.132747309,-0.097460797,0.001620921,-0.003060987,-0.111899198,-0.113498056,0.010458128,-0.029998532,0.46838295,0.483901785,0.136104419,0.110794913,0.072462709,-0.104461107,0.090327497,0.055652981,0.184426606,0.168031389,0.117063803,0.114211638,-0.039736477,0.034174251
pmat2,0.139738026,0.232943936,0.050057336,0.152300631,0.260306643,0.132505889,0.047875859,0.138153006,0.429038252,0.167291153,0.049923121,0.14929846,0.46838295,0.483901785,0.137551634,0.153764035,0.271891316,0.209218449,0.093666439,0.13852755,0.441805911,0.311263075,0.117063803,0.157299014,0.101638442,0.129885189
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Short,,,Medium,,Longer,,,,,,,,,,,,,,,,,,,,
,MoYr,MoMo,LBSPR,MoYr,LBSPR,MoYr,LBSPR,,,,,,,,,,,,,,,,,,,
,0.46838295,-0.039736477,0.068111687,0.072462709,-0.132747309,0.184426606,-0.111899198,,,,,,,,,,,,,,,,,,,
,0.483901785,0.034174251,0.195342167,-0.104461107,-0.097460797,0.168031389,-0.113498056,,,,,,,,,,,,,,,,,,,
,0.136104419,,-0.004854285,0.090327497,0.001620921,0.117063803,0.010458128,,,,,,,,,,,,,,,,,,,
,0.110794913,,0.020528452,0.055652981,-0.003060987,0.114211638,-0.029998532,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Short,,,Medium,,Longer,,,,,,,,,,,,,,,,,,,,
,MoYr,MoMo,LBSPR,MoYr,LBSPR,MoYr,LBSPR,,,,,,,,,,,,,,,,,,,
,0.46838295,0.101638442,0.139738026,0.271891316,0.260306643,0.441805911,0.429038252,,,,,,,,,,,,,,,,,,,
,0.483901785,0.129885189,0.232943936,0.209218449,0.132505889,0.311263075,0.167291153,,,,,,,,,,,,,,,,,,,
,0.137551634,,0.050057336,0.093666439,0.047875859,0.117063803,0.049923121,,,,,,,,,,,,,,,,,,,
,0.153764035,,0.152300631,0.13852755,0.138153006,0.157299014,0.14929846,,,,,,,,,,,,,,,,,,,
